Year,Mo,Dy,Tsunami Event Validity,Maximum Water Height (m),Total Deaths,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged,Country
1800,6,2,2,,,,,,PORTUGAL
1802,1,4,2,,,,,,CROATIA
1802,3,19,2,,,,,,ANTIGUA AND BARBUDA
1802,8,10,1,,,,,,UK
1802,8,15,3,,,,,,VENEZUELA
1802,8,,2,,,,,,INDONESIA
1802,11,7,3,,,,1100,,ALGERIA
1802,12,9,4,,19,,1060,,JAPAN
1804,1,8,1,,,,,,GREECE
1804,1,13,4,,,,,,SPAIN
1804,6,8,3,,,,,,GREECE
1804,7,10,4,1,450,,10810,300,JAPAN
1804,7,31,2,,,,,,ITALY
1805,1,8,1,,,,,,GREECE
1805,5,8,3,5,,,1,,AUSTRALIA
1805,7,26,4,,,,,,ITALY
1806,3,25,2,,,,,,USA
1806,8,26,2,,,,,,ITALY
1806,12,1,3,1,,,,,PERU
1806,,,2,1.5,,,,,FRENCH POLYNESIA
1808,4,2,2,0.15,2,,,,ITALY
1808,8,8,4,1.5,,,,,JAPAN
1808,12,4,1,,,,,,JAPAN
1809,7,3,2,,,,,,ITALY
1809,7,4,1,,,,,,PORTUGAL
1809,12,4,1,,,,,,SOUTH AFRICA
1809,,,1,,,,,,USA TERRITORY
1810,2,16,0,,,,,,GREECE
1810,8,27,4,,,,,,MEXICO
1810,9,25,4,1,57,,1084,,JAPAN
1810,,,2,,,,,,NEW ZEALAND
1810,,,4,,,,,,NORWAY
1811,11,19,2,4,,,,,CHILE
1811,12,16,0,,,,,,USA
1811,12,16,0,,,,,,USA
1812,1,23,0,,,,,,USA
1812,2,7,0,,,,,,USA
1812,3,26,2,,26000,,,,VENEZUELA
1812,6,23,2,,,,,,FRANCE
1812,11,11,2,,,,,,JAMAICA
1812,12,21,4,3.4,1,,,,USA
1812,,,1,,,,,,USA
1813,5,17,1,,,,,,ITALY
1813,,,-1,,,,,,USA
1814,,,2,,,,,,INDONESIA
1815,4,10,4,4,60000,,,,INDONESIA
1815,4,11,1,,,,,,INDONESIA
1815,11,22,3,,11453,,,,INDONESIA
1816,2,2,-1,,,,,,PORTUGAL
1816,5,1,2,,,,,,INDONESIA
1816,12,20,-1,,,,,,JAPAN
1817,1,1,1,,,,,,GREECE
1817,1,8,0,0.3,,,,,USA
1817,1,14,1,,,,,,ITALY
1817,8,23,3,5,,,,,GREECE
1818,1,,1,,,,,,GREECE
1818,2,20,4,,72,,,,ITALY
1818,2,23,2,,,,,,ITALY
1818,3,18,3,,,,,,INDONESIA
1818,11,8,2,3.5,,,,,INDONESIA
1818,12,9,2,,,,,,ITALY
1819,1,8,2,,,,,,ITALY
1819,4,12,4,4,,,,,CHILE
1819,6,16,3,,1543,,1547,,INDIA
1819,8,31,3,,,,,,NORWAY
1819,,,2,,,,,,USA TERRITORY
1820,3,1,2,,,,,,USA
1820,3,17,-1,,,,,,GREECE
1820,5,4,4,4,,,,,MEXICO
1820,7,23,2,,,,,,ITALY
1820,12,29,2,,8,,79,,GREECE
1820,12,29,4,25,500,,,,INDONESIA
1820,,,3,,,,,,USA
1820,,,2,,,,,,CONGO
1821,1,6,4,,,,,,GREECE
1821,4,10,1,,,,,,COSTA RICA
1821,5,,2,,3,,,,UK TERRITORY
1821,9,3,1,,,,,,USA
1821,,,-1,,,,,,INDONESIA
1822,3,20,1,,,,,,LEBANON
1822,4,10,1,,,,,,ITALY
1822,5,7,3,,,,,,COSTA RICA
1822,8,13,2,,8000,,,,TURKEY
1822,11,20,4,3.6,72,,,,CHILE
1823,3,5,2,,,,,,ITALY
1823,5,30,0,2.74,,,,,USA
1823,8,20,2,,,,,,CROATIA
1823,9,9,2,0.3,,,,,INDONESIA
1823,10,,-1,,,,,,CROATIA
1823,11,30,4,,,,,,MARTINIQUE (FRENCH TERRITORY)
1824,9,13,-1,,,,,,GUADELOUPE (FRENCH TERRITORY)
1824,10,26,1,,,,,,PHILIPPINES
1824,11,30,2,,,,,,MARTINIQUE (FRENCH TERRITORY)
1825,1,3,1,,,,,,DENMARK
1825,1,19,1,,58,,,,GREECE
1825,2,26,1,,,,,,COLOMBIA
1825,3,21,-1,,,,,,USA
1825,4,,2,,,,,,USA TERRITORY
1825,9,21,2,,,,,,TRINIDAD AND TOBAGO
1826,1,,3,,,,,,JAPAN
1826,3,18,2,,,,,,ITALY
1826,10,22,-1,,,,,,USA
1826,,,3,,,,,,NEW ZEALAND
1827,1,18,1,,,,,,USA
1827,8,8,-1,,,,,,USA
1827,8,9,3,,,,,,RUSSIA
1827,11,16,-1,,,,,,ECUADOR
1827,,,-1,,,,,,USA
1828,3,30,-1,,,,,,PERU
1828,5,26,4,,,,,,JAPAN
1828,10,9,2,,,,,,ITALY
1828,11,9,1,,,,,,PHILIPPINES
1828,12,18,-1,,1443,,11750,,JAPAN
1828,12,29,-1,,,,,,INDONESIA
1829,5,23,2,,,,,,TURKEY
1829,9,26,-1,,,,,,CHILE
1830,1,10,1,,,,,,HOLLAND
1830,1,18,0,1,,,,,PHILIPPINES
1830,9,16,0,,,,,,PHILIPPINES
1831,5,26,2,,,,,,ITALY
1831,7,2,2,,,,,,ITALY
1831,12,3,1,,,,,,TRINIDAD AND TOBAGO
1831,,,3,,,,,,NEW ZEALAND
1832,3,8,2,,234,,,,ITALY
1833,1,19,2,,,,,,ALBANIA
1833,3,10,3,,,,,,MEXICO
1833,9,6,0,,6700,,87620,,CHINA
1833,9,18,1,9,700,,1001,,PERU
1833,11,24,4,,,,,,INDONESIA
1833,12,7,4,9,85,,1140,1790,JAPAN
1834,2,9,4,,,,73,,JAPAN
1834,3,14,1,,,,,,MEXICO
1835,2,20,4,24,53,,,,CHILE
1835,7,12,2,,,,,,GREECE
1835,7,20,4,5,,,,,JAPAN
1835,8,19,-1,,,,,,JAPAN
1836,1,21,1,,,,,,AUSTRALIA
1836,3,5,2,,,,,,INDONESIA
1836,4,24,3,,589,,,,ITALY
1836,7,3,2,,,,,,CHILE
1836,9,5,-1,,,,,,JAPAN
1836,11,28,2,,,,,,INDONESIA
1837,1,1,3,,,,,,ISRAEL
1837,8,1,1,,,,,,NETHERLANDS
1837,8,2,-1,,,,,,USA TERRITORY
1837,8,9,2,,,,,,MEXICO
1837,9,29,2,,,,,,INDONESIA
1837,10,18,2,,,,,,MEXICO
1837,10,,2,,,,,,"MICRONESIA, FED. STATES OF"
1837,11,7,4,6,16,,,,CHILE
1838,5,7,2,0.8,,,,,CHILE
1838,8,10,2,,,,,,CROATIA
1839,2,12,1,,,,,,CHILE
1839,3,,1,,,,,,USA
1839,5,1,1,,,,,,JAPAN
1839,,,3,,,,,,NEW ZEALAND
1840,1,4,2,,,,,,INDONESIA
1840,1,16,-1,,,,,,USA
1840,1,28,1,,,,,,PERU
1840,2,14,2,,,,500,,INDONESIA
1840,3,22,1,,52,,,,PHILIPPINES
1840,7,28,0,,,,,,NEW ZEALAND
1840,8,,2,1,,,,,NEW ZEALAND
1840,11,11,0,,,,,,USA
1840,,,-1,,,,,,USA
1841,5,17,4,15,,,,,RUSSIA
1841,11,26,3,3,,,,,INDONESIA
1841,12,16,3,1.5,,,,,INDONESIA
1841,,,1,,,,,,PERU
1842,5,7,4,5,5300,,,,HAITI
1842,11,1,2,,,,,,CANADA
1842,11,11,1,,,,,,BANGLADESH
1843,1,5,4,,,,,,INDONESIA
1843,2,7,1,,,,,,INDONESIA
1843,2,8,4,1.2,5000,,,,GUADELOUPE (FRENCH TERRITORY)
1843,2,17,1,,,,,,GUADELOUPE (FRENCH TERRITORY)
1843,4,25,4,4.5,45,,75,,JAPAN
1843,7,5,1,,,,,,UK
1843,7,8,2,,,,,,NEW ZEALAND
1843,9,14,2,,,,,,CROATIA
1843,10,18,2,,,,,,GREECE
1844,3,3,2,,,,,,CROATIA
1844,3,8,-1,,,,,,JAPAN
1844,3,22,2,,,,,,CROATIA
1844,5,,0,,,,,,NICARAGUA
1845,2,8,3,,118,,,,INDONESIA
1845,4,7,3,,,,,,MEXICO
