Changed database context to 'Practica1_semi2'.
nombrePais                                                                                                                                                                                                                                                 AVG_alturaMaximaAgua    
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ------------------------
ALBANIA                                                                                                                                                                                                                                                         0.66000000000000003
ALGERIA                                                                                                                                                                                                                                                          1.8457142857142856
ANTARCTICA                                                                                                                                                                                                                                                      0.29999999999999999
ARGENTINA                                                                                                                                                                                                                                                                       1.0
ATLANTIC OCEAN                                                                                                                                                                                                                                                   3.2474999999999996
AUSTRALIA                                                                                                                                                                                                                                                        1.4037500000000001
BULGARIA                                                                                                                                                                                                                                                                        3.0
CAMEROON                                                                                                                                                                                                                                                                       40.0
CANADA                                                                                                                                                                                                                                                           7.8385714285714281
CHILE                                                                                                                                                                                                                                                            6.2288333333333332
CHINA                                                                                                                                                                                                                                                            7.9949999999999992
COLOMBIA                                                                                                                                                                                                                                                                        5.0
COOK ISLANDS                                                                                                                                                                                                                                                                    3.0
COSTA RICA                                                                                                                                                                                                                                                      0.67000000000000004
CROATIA                                                                                                                                                                                                                                                       4.0000000000000001E-2
CUBA                                                                                                                                                                                                                                                            0.55500000000000005
DOMINICAN REPUBLIC                                                                                                                                                                                                                                               1.8866666666666665
ECUADOR                                                                                                                                                                                                                                                          1.9166666666666667
EGYPT                                                                                                                                                                                                                                                                           4.0
EL SALVADOR                                                                                                                                                                                                                                                      2.1899999999999999
FIJI                                                                                                                                                                                                                                                             3.9300000000000002
FRANCE                                                                                                                                                                                                                                                                         10.0
FRENCH POLYNESIA                                                                                                                                                                                                                                                 3.8000000000000003
GREECE                                                                                                                                                                                                                                                            2.719761904761905
GREENLAND                                                                                                                                                                                                                                                        52.759999999999998
GRENADA                                                                                                                                                                                                                                                                         2.0
GUADELOUPE (FRENCH TERRITORY)                                                                                                                                                                                                                                   0.94500000000000006
GUATEMALA                                                                                                                                                                                                                                                        0.2233333333333333
HAITI                                                                                                                                                                                                                                                            4.1050000000000004
HONDURAS                                                                                                                                                                                                                                                         6.0999999999999996
ICELAND                                                                                                                                                                                                                                                                        60.0
INDIA                                                                                                                                                                                                                                                                          1.21
INDONESIA                                                                                                                                                                                                                                                        10.835252525252523
IRAN                                                                                                                                                                                                                                                                            2.5
ISRAEL                                                                                                                                                                                                                                                                          1.0
ITALY                                                                                                                                                                                                                                                            17.681249999999999
JAMAICA                                                                                                                                                                                                                                                                        1.48
JAPAN                                                                                                                                                                                                                                                            2.3234831460674155
JORDAN                                                                                                                                                                                                                                                                          1.0
KENYA                                                                                                                                                                                                                                                                           6.0
KERMADEC ISLANDS                                                                                                                                                                                                                                                0.26500000000000001
MARTINIQUE (FRENCH TERRITORY)                                                                                                                                                                                                                                                   3.0
MEXICO                                                                                                                                                                                                                                                           2.6457142857142859
MONTENEGRO                                                                                                                                                                                                                                                      0.80000000000000004
MONTSERRAT                                                                                                                                                                                                                                                                      2.5
MOROCCO                                                                                                                                                                                                                                                                        0.02
MYANMAR (BURMA)                                                                                                                                                                                                                                                  1.0600000000000001
NETHERLANDS                                                                                                                                                                                                                                                                     2.0
NEW CALEDONIA                                                                                                                                                                                                                                                   0.90947368421052632
NEW ZEALAND                                                                                                                                                                                                                                                      2.0417021276595744
NICARAGUA                                                                                                                                                                                                                                                        3.8266666666666667
NORWAY                                                                                                                                                                                                                                                           17.775000000000002
PACIFIC OCEAN                                                                                                                                                                                                                                                   0.10000000000000001
PAKISTAN                                                                                                                                                                                                                                                         8.7850000000000001
PANAMA                                                                                                                                                                                                                                                           1.4666666666666668
PAPUA NEW GUINEA                                                                                                                                                                                                                                                 2.7839534883720924
PERU                                                                                                                                                                                                                                                             5.0133333333333345
PHILIPPINES                                                                                                                                                                                                                                                      2.6530303030303028
PORTUGAL                                                                                                                                                                                                                                                         4.8677777777777784
RUSSIA                                                                                                                                                                                                                                                           4.9538571428571414
SAINT VINCENT AND THE GRENADINES                                                                                                                                                                                                                                                1.0
SAMOA                                                                                                                                                                                                                                                             4.972500000000001
SCOTLAND                                                                                                                                                                                                                                                        0.17999999999999999
SOLOMON ISLANDS                                                                                                                                                                                                                                                  2.1619444444444449
SOUTH AFRICA                                                                                                                                                                                                                                                     1.9133333333333333
SOUTH KOREA                                                                                                                                                                                                                                                      1.4750000000000001
SPAIN                                                                                                                                                                                                                                                                         2.645
SWEDEN                                                                                                                                                                                                                                                                          5.0
SWITZERLAND                                                                                                                                                                                                                                                                     0.5
TAIWAN                                                                                                                                                                                                                                                           1.0364705882352943
TOGO                                                                                                                                                                                                                                                                            5.0
TONGA                                                                                                                                                                                                                                                            1.5458333333333332
TUNISIA                                                                                                                                                                                                                                                                         1.0
TURKEY                                                                                                                                                                                                                                                           2.3166666666666664
UK                                                                                                                                                                                                                                                               1.3999999999999999
UK TERRITORY                                                                                                                                                                                                                                                     0.7466666666666667
UKRAINE                                                                                                                                                                                                                                                          1.2333333333333334
USA                                                                                                                                                                                                                                                              13.574598540145974
USA TERRITORY                                                                                                                                                                                                                                                    2.9933333333333327
VANUATU                                                                                                                                                                                                                                                          2.2833333333333337
VENEZUELA                                                                                                                                                                                                                                                        5.2699999999999996
VIETNAM                                                                                                                                                                                                                                                           4.833333333333333

(82 rows affected)
