Changed database context to 'Practica1_semi2'.
año         cantidad   
----------- -----------
       1921           5
       1898           5
       1804           5
       1875           6
       1844           4
       1998           6
       1904          11
       1938          23
       1950          13
       1990           9
       1944           6
       1838           2
       2004          11
       1861          13
       1887           8
       1930          17
       1812           7
       1881          11
       1981           8
       1832           1
       2010          18
       1867          13
       1961          16
       1918          11
       1924          12
       1818           6
       1824           3
       1967          11
       1855          16
       1901          11
       1987          15
       1841           4
       1941          10
       1947           5
       1895          13
       1815           3
       1864           4
       1835           4
       2001           4
       2007          20
       1978          16
       1984           8
       1884          11
       1958          10
       1858           8
       1907          14
       1915           9
       1927          15
       2021          13
       1878          23
       1964          10
       2013          13
       1970          13
       1821           5
       1850           5
       1873           6
       1827           5
       1856          13
       1890           1
       1902          14
       1942           3
       1996          16
       1896           8
       1910           7
       1816           3
       1859          16
       1936          10
       1836           6
       1953          17
       1959           9
       2002          10
       2008          12
       1810           5
       1979          15
       1879           7
       1916           6
       1973           8
       1965          17
       1945           3
       2016          15
       1922          14
       1899          14
       1876           4
       1853           9
       1830           3
       1939          14
       1985           6
       1999           4
       1847           9
       1893          10
       1993           8
       1862           8
       1933          10
       1813           2
       1839           4
       1982           8
       1833           6
       1882           9
       1956           9
       2005           8
       1976           5
       1913           8
       1962           9
       2019           8
       1819           5
       1870          12
       1919          16
       1825           6
       1802           7
       1877          14
       1854          21
       1831           4
       1808           3
       1940           6
       1988           9
       2000          11
       1948           9
       1842           3
       1848           6
       1994          21
       1894           9
       1957           8
       1885           9
       1934          11
       1814           1
       1977           9
       1834           2
       1908           9
       1857           8
       1928          25
       1914          11
       1865          10
       1871          18
       1971          15
       2014          18
       2020          14
       1822           5
       1874           5
       1897          15
       1828           6
       1851          12
       1805           3
       1951           7
       1891           9
       1997          10
       1937           6
       1991           8
       1845           8
       1911           9
       1888           7
       1954           7
       1960          11
       1811           3
       1905          19
       2003          12
       1931          13
       1980           7
       1868          23
       1925          12
       1974           9
       2011          17
       1917          16
       1968          16
       2017          20
       1969          13
       1946           9
       1852          20
       1923          19
       1900           6
       1806           4
       1829           2
       1892          11
       1952          16
       1986           5
       1800           1
       1846          16
       1992           9
       1840           9
       1863           6
       1912           6
       1883           9
       1983          13
       1932          11
       2006          13
       1906          18
       1955           7
       1963          12
       1975          10
       1926          14
       2012          15
       1920           7
       2018          20
       1820           8
       1869          20
       1849           3
       1826           4
       1903          14
       1949          15
       1889           9
       1989           8
       1995          18
       1843           9
       1943           2
       1886           7
       1909          11
       1837           8
       1935          11
       1860           7
       1929          10
       1809           4
       1880          10
       2009          16
       1966          10
       1972          11
       1817           4
       1823           6
       1866          15
       1872          14
       2015          17

(219 rows affected)
