Changed database context to 'Practica1_semi2'.
nombrePais                                                                                                                                                                                                                                                 año        
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- -----------
"MARSHALL ISLANDS, REP. OF"                                                                                                                                                                                                                                       1906
"MICRONESIA, FED. STATES OF"                                                                                                                                                                                                                                      1837
"MICRONESIA, FED. STATES OF"                                                                                                                                                                                                                                      1912
"MICRONESIA, FED. STATES OF"                                                                                                                                                                                                                                      1912
"MICRONESIA, FED. STATES OF"                                                                                                                                                                                                                                      1925
ALBANIA                                                                                                                                                                                                                                                           1833
ALBANIA                                                                                                                                                                                                                                                           1851
ALBANIA                                                                                                                                                                                                                                                           1866
ALBANIA                                                                                                                                                                                                                                                           1866
ALBANIA                                                                                                                                                                                                                                                           1866
ALBANIA                                                                                                                                                                                                                                                           1866
ALBANIA                                                                                                                                                                                                                                                           1866
ALBANIA                                                                                                                                                                                                                                                           1893
ALBANIA                                                                                                                                                                                                                                                           1911
ALBANIA                                                                                                                                                                                                                                                           1920
ALGERIA                                                                                                                                                                                                                                                           1802
ALGERIA                                                                                                                                                                                                                                                           1856
ALGERIA                                                                                                                                                                                                                                                           1856
ALGERIA                                                                                                                                                                                                                                                           1857
ALGERIA                                                                                                                                                                                                                                                           1885
ALGERIA                                                                                                                                                                                                                                                           1891
ALGERIA                                                                                                                                                                                                                                                           1954
ALGERIA                                                                                                                                                                                                                                                           1980
ALGERIA                                                                                                                                                                                                                                                           1989
ALGERIA                                                                                                                                                                                                                                                           2003
ALGERIA                                                                                                                                                                                                                                                           2003
ALGERIA                                                                                                                                                                                                                                                           2021
ANTARCTICA                                                                                                                                                                                                                                                        1967
ANTARCTICA                                                                                                                                                                                                                                                        1998
ANTARCTICA                                                                                                                                                                                                                                                        2003
ANTARCTICA                                                                                                                                                                                                                                                        2013
ANTARCTICA                                                                                                                                                                                                                                                        2021
ANTIGUA AND BARBUDA                                                                                                                                                                                                                                               1802
ARGENTINA                                                                                                                                                                                                                                                         1954
ATLANTIC OCEAN                                                                                                                                                                                                                                                    1894
ATLANTIC OCEAN                                                                                                                                                                                                                                                    1941
ATLANTIC OCEAN                                                                                                                                                                                                                                                    1969
ATLANTIC OCEAN                                                                                                                                                                                                                                                    1975
AUSTRALIA                                                                                                                                                                                                                                                         1805
AUSTRALIA                                                                                                                                                                                                                                                         1836
AUSTRALIA                                                                                                                                                                                                                                                         1852
AUSTRALIA                                                                                                                                                                                                                                                         1858
AUSTRALIA                                                                                                                                                                                                                                                         1859
AUSTRALIA                                                                                                                                                                                                                                                         1866
AUSTRALIA                                                                                                                                                                                                                                                         1866
AUSTRALIA                                                                                                                                                                                                                                                         1867
AUSTRALIA                                                                                                                                                                                                                                                         1869
AUSTRALIA                                                                                                                                                                                                                                                         1870
AUSTRALIA                                                                                                                                                                                                                                                         1874
AUSTRALIA                                                                                                                                                                                                                                                         1880
AUSTRALIA                                                                                                                                                                                                                                                         1899
AUSTRALIA                                                                                                                                                                                                                                                         1922
AUSTRALIA                                                                                                                                                                                                                                                         1924
AUSTRALIA                                                                                                                                                                                                                                                         1938
AUSTRALIA                                                                                                                                                                                                                                                         1953
AUSTRALIA                                                                                                                                                                                                                                                         1989
AUSTRALIA                                                                                                                                                                                                                                                         1997
AUSTRALIA                                                                                                                                                                                                                                                         2000
AUSTRALIA                                                                                                                                                                                                                                                         2004
BANGLADESH                                                                                                                                                                                                                                                        1842
BANGLADESH                                                                                                                                                                                                                                                        1874
BANGLADESH                                                                                                                                                                                                                                                        1886
BANGLADESH                                                                                                                                                                                                                                                        1988
BANGLADESH                                                                                                                                                                                                                                                        1988
BULGARIA                                                                                                                                                                                                                                                          1901
BULGARIA                                                                                                                                                                                                                                                          2007
CAMEROON                                                                                                                                                                                                                                                          1984
CAMEROON                                                                                                                                                                                                                                                          1986
CANADA                                                                                                                                                                                                                                                            1842
CANADA                                                                                                                                                                                                                                                            1848
CANADA                                                                                                                                                                                                                                                            1863
CANADA                                                                                                                                                                                                                                                            1864
CANADA                                                                                                                                                                                                                                                            1870
CANADA                                                                                                                                                                                                                                                            1903
CANADA                                                                                                                                                                                                                                                            1908
CANADA                                                                                                                                                                                                                                                            1908
CANADA                                                                                                                                                                                                                                                            1914
CANADA                                                                                                                                                                                                                                                            1917
CANADA                                                                                                                                                                                                                                                            1928
CANADA                                                                                                                                                                                                                                                            1928
CANADA                                                                                                                                                                                                                                                            1929
CANADA                                                                                                                                                                                                                                                            1929
CANADA                                                                                                                                                                                                                                                            1938
CANADA                                                                                                                                                                                                                                                            1946
CANADA                                                                                                                                                                                                                                                            1949
CANADA                                                                                                                                                                                                                                                            1963
CANADA                                                                                                                                                                                                                                                            1974
CANADA                                                                                                                                                                                                                                                            1975
