Changed database context to 'Practica1_semi2'.
nombrePais                                                                                                                                                                                                                                                 AVG_TotalDamage         
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ------------------------
"MARSHALL ISLANDS, REP. OF"                                                                                                                                                                                                                                                    NULL
"MICRONESIA, FED. STATES OF"                                                                                                                                                                                                                                                   NULL
ALBANIA                                                                                                                                                                                                                                                                        NULL
ALGERIA                                                                                                                                                                                                                                                                     2552.75
ANTARCTICA                                                                                                                                                                                                                                                                     NULL
ANTIGUA AND BARBUDA                                                                                                                                                                                                                                                            NULL
ARGENTINA                                                                                                                                                                                                                                                                      NULL
ATLANTIC OCEAN                                                                                                                                                                                                                                                                 NULL
AUSTRALIA                                                                                                                                                                                                                                                                      NULL
BANGLADESH                                                                                                                                                                                                                                                                    131.5
BULGARIA                                                                                                                                                                                                                                                                       NULL
CAMEROON                                                                                                                                                                                                                                                                       NULL
CANADA                                                                                                                                                                                                                                                                          1.0
CHILE                                                                                                                                                                                                                                                             2712.276230769231
CHINA                                                                                                                                                                                                                                                                     43000.373
COLOMBIA                                                                                                                                                                                                                                                                        8.0
CONGO                                                                                                                                                                                                                                                                          NULL
COOK ISLANDS                                                                                                                                                                                                                                                                   NULL
COSTA RICA                                                                                                                                                                                                                                                                    510.0
CROATIA                                                                                                                                                                                                                                                                        NULL
CUBA                                                                                                                                                                                                                                                                           NULL
CYPRUS                                                                                                                                                                                                                                                                         NULL
DENMARK                                                                                                                                                                                                                                                                        NULL
DOMINICAN REPUBLIC                                                                                                                                                                                                                                                             NULL
ECUADOR                                                                                                                                                                                                                                                                      3300.0
EGYPT                                                                                                                                                                                                                                                                          NULL
EL SALVADOR                                                                                                                                                                                                                                                                   753.0
ERITREA                                                                                                                                                                                                                                                                        NULL
FIJI                                                                                                                                                                                                                                                                           NULL
FRANCE                                                                                                                                                                                                                                                                         NULL
FRENCH POLYNESIA                                                                                                                                                                                                                                                               NULL
GEORGIA                                                                                                                                                                                                                                                                        NULL
GHANA                                                                                                                                                                                                                                                                          NULL
GREECE                                                                                                                                                                                                                                                           904.37142857142862
GREENLAND                                                                                                                                                                                                                                                                      NULL
GRENADA                                                                                                                                                                                                                                                                        NULL
GUADELOUPE (FRENCH TERRITORY)                                                                                                                                                                                                                                                  NULL
GUATEMALA                                                                                                                                                                                                                                                                    1178.5
HAITI                                                                                                                                                                                                                                                                        8000.0
HOLLAND                                                                                                                                                                                                                                                                        NULL
HONDURAS                                                                                                                                                                                                                                                        0.29999999999999999
ICELAND                                                                                                                                                                                                                                                                        NULL
INDIA                                                                                                                                                                                                                                                                          20.0
INDONESIA                                                                                                                                                                                                                                                        876.16176470588232
IRAN                                                                                                                                                                                                                                                                         3605.0
ISRAEL                                                                                                                                                                                                                                                                         NULL
ITALY                                                                                                                                                                                                                                                                         308.0
JAMAICA                                                                                                                                                                                                                                                                        30.0
JAPAN                                                                                                                                                                                                                                                            24931.153846153848
JORDAN                                                                                                                                                                                                                                                                         NULL
KENYA                                                                                                                                                                                                                                                                          NULL
KERMADEC ISLANDS                                                                                                                                                                                                                                                               NULL
KOREA                                                                                                                                                                                                                                                                          NULL
LEBANON                                                                                                                                                                                                                                                                        NULL
MARTINIQUE (FRENCH TERRITORY)                                                                                                                                                                                                                                                  NULL
MEXICO                                                                                                                                                                                                                                                                       1731.0
MONTENEGRO                                                                                                                                                                                                                                                                   2700.0
MONTSERRAT                                                                                                                                                                                                                                                                     NULL
MOROCCO                                                                                                                                                                                                                                                                       120.0
MYANMAR (BURMA)                                                                                                                                                                                                                                                                NULL
NAURU                                                                                                                                                                                                                                                                          NULL
NEPAL                                                                                                                                                                                                                                                                          NULL
NETHERLANDS                                                                                                                                                                                                                                                                    NULL
NEW CALEDONIA                                                                                                                                                                                                                                                                  NULL
NEW ZEALAND                                                                                                                                                                                                                                                       6308.333333333333
